species_name	bin_uri
Macoma petalum	BOLD:AAX6027
Hiatella sp. L	BOLD:ABA8494
Olivella n. sp.	BOLD:AAX0751
Pollia tincta	BOLD:AAH7774
Stagnicola elodes	BOLD:AAG1549
Stagnicola elodes	BOLD:AAG1549
Philalanka spec1	BOLD:ACP4768
Conus lithoglyphus	BOLD:AAJ7387
Nerita plicata	BOLD:ABX6181
Cypraea depressa	BOLD:AAD8751
Lithophaga sp.	BOLD:ACE8346
Lithophaga sp.	BOLD:ABY9268
Bathyarca glacialis	BOLD:ABX3099
Crassostrea gigas	BOLD:AAB2297
Hiatella sp. L	BOLD:ABA8494
Helisoma anceps	BOLD:AAV0531
Cepaea nemoralis	BOLD:AAU0190
Lymnaea stagnalis	BOLD:AAD4570
Gyraulus parvus	BOLD:AAG1566
Pisidium nitidum	BOLD:AAG0344
Cepaea nemoralis	BOLD:AAU0190
Trochulus hispidus	BOLD:ACI9420
Succinea putris	BOLD:AAN9260
Succinea putris	BOLD:AAN9260
Zonitoides arboreus	BOLD:AAG1583
Thracia convexa	BOLD:ADV4128
Eulima bilineata	BOLD:ACW8256
Bathymodiolus japonicus	BOLD:ACQ4898
Bathymodiolus thermophilus	BOLD:AAB2512
Dreissena rostriformis	BOLD:AAD0682
Crassostrea angulata	BOLD:ACH3409
Hormomya exustus	BOLD:AAA3977
Hormomya exustus	BOLD:AAA3977
Hormomya exustus	BOLD:AAA3976
Aplysia fasciata	BOLD:AAJ1313
Halgerda albocristata	BOLD:AAY1844
Halgerda batangas	BOLD:AAE6748
Partulina perdix	BOLD:AAI4247
Partulina crocea	BOLD:ABZ4180
Achatinella fuscobasis	BOLD:AAD6859
Partula sp. BSH-2002	BOLD:AAX1638
Succinea lutulenta	BOLD:AAH9937
Placostylus bivaricosus	BOLD:AAD0900
Bullina lineata	BOLD:AAW7206
Pyrgulopsis micrococcus	BOLD:AAA5605
Pyrgulopsis micrococcus	BOLD:ACE8273
Nucella ostrina	BOLD:AAA4209
Nucella ostrina	BOLD:AAA4209
Nucella lamellosa	BOLD:AAA4445
Nucella lamellosa	BOLD:AAA4445
Nucella lamellosa	BOLD:AAA4445
Crucibulum tenuis	BOLD:AAR4783
Calyptraea mamillaris	BOLD:AAW8040
Echinolittorina ziczac	BOLD:ABX5318
Littoraria scabra	BOLD:AAK6714
Echinolittorina atrata	BOLD:AAI8979
Echinolittorina dubiosa	BOLD:AAI8908
Echinolittorina millegrana	BOLD:AAA9391
Echinolittorina trochoides E	BOLD:AAB5305
Calpurnus lacteus	BOLD:AAW7991
Ipsa childreni	BOLD:AAI8094
Erosaria cernica	BOLD:AAE2021
Erosaria ocellata	BOLD:AAF3522
Erosaria labrolineata	BOLD:AAE1938
Umbilia hesitata	BOLD:AAH7574
Zoila venusta	BOLD:AAF6006
Notocypraea comptoni	BOLD:AAF2691
Cypraeovula connelli	BOLD:AAJ3402
Purpuradusta hammondae	BOLD:AAH8018
Purpuradusta fimbriata	BOLD:AAD0265
Erronea errones	BOLD:AAF2702
Colligyrus convexus	BOLD:AAE9690
Melanoides polymorpha	BOLD:AAB1144
Chaetopleura apiculata	BOLD:AAW6573
Calyptogena okutanii	BOLD:AAC9728
Calyptogena nankaiensis	BOLD:AAD5571
Calyptogena solidissima	BOLD:AAC7877
Corbicula javanica	BOLD:AAC2296
Anodonta oregonensis	BOLD:AAB1155
Musculista senhousia	BOLD:AAB4685
Spisula solidissima	BOLD:AAB8217
Fusconaia flava	BOLD:AAB7215
Patella ferruginea	BOLD:AAA8123
Haliotis diversicolor	BOLD:AAD5674
Prophysaon coeruleum	BOLD:AAA9109
Albinaria puella	BOLD:AAW1736
Agathylla lamellosa	BOLD:AAJ7583
Medora italiana	BOLD:AAX2911
Muticaria syracusana	BOLD:AAX3296
Trochoidea seetzenii	BOLD:AAW7885
Patelloida saccharina	BOLD:AAC6313
Petrophysa zionis	BOLD:AAY1901
Theodoxus fluviatilis	BOLD:AAA7898
Astralium rhodostomum	BOLD:ACE7513
Astralium milloni	BOLD:ACE8717
Ashmunella mearnsii	BOLD:AAB9495
Ashmunella animasensis	BOLD:AAF6062
Ashmunella ashmuni	BOLD:AAJ2939
Biomphalaria alexandrina	BOLD:AAC5266
Biomphalaria sudanica	BOLD:AAC5266
Trochulus caelatus	BOLD:AAA9531
Trochulus sp. 1 MP-2005	BOLD:ADJ5789
Trochulus sp. 1 MP-2005	BOLD:AAA9534
Haliotis rufescens	BOLD:AAA2369
Haliotis cracherodii	BOLD:AAD5485
Haliotis cracherodii	BOLD:AAD5485
Pyrgulopsis militaris	BOLD:ABY5264
Pyrgulopsis ventricosa	BOLD:AAI0547
Jardinella sp. umb QMS-04	BOLD:AAI7952
Pyrgulopsis californiensis	BOLD:AAF5740
Neptunea constricta	BOLD:AAB1355
Neptunea constricta	BOLD:AAB1355
Vinundu westae	BOLD:AAB5906
Vinundu guillemei	BOLD:ACF2390
Brotia episcopalis	BOLD:AAF6996
Bridouxia tanganyicensis	BOLD:AAI8258
Lavigeria littoralis	BOLD:AAE5024
Mauritia arabica	BOLD:AAC4111
Barycypraea fultoni	BOLD:AAW3152
Blasicrura summersi	BOLD:AAI8777
Oncomelania hupensis	BOLD:ABX6232
Amphioctopus fangsiao	BOLD:AAB0289
Amphioctopus aegina	BOLD:AAF4331
Sepia peterseni	BOLD:ABZ4217
Gonatopsis japonicus	BOLD:AAE3433
Calyptogena nankaiensis	BOLD:AAD5571
Venerupis philippinarum	BOLD:AAA3922
Venerupis philippinarum	BOLD:AAA3922
Venerupis philippinarum	BOLD:AAA3922
Brachidontes pharaonis	BOLD:AAA4237
Brachidontes pharaonis	BOLD:AAA4236
Margaritifera falcata	BOLD:AAC2926
Perna viridis	BOLD:ACY1487
Patelloida pygmaea	BOLD:AAB1669
Patelloida pygmaea	BOLD:AAB1669
Arion hortensis	BOLD:AAB3153
Arion owenii	BOLD:AAE0162
Carinigera pharsalica	BOLD:AAE3100
Albinaria discolor	BOLD:AAJ2593
Astralium rhodostomum	BOLD:AAA2462
Astralium rhodostomum	BOLD:AAA2467
Astralium rhodostomum	BOLD:AAA2478
Neritina canalis	BOLD:AAA3566
Neritina canalis	BOLD:AAA3566
Septaria porcellana	BOLD:AAA5854
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Nerita atramentosa	BOLD:AAA3200
Patella candei	BOLD:AAA8176
Sororipyrgus raki	BOLD:AAE2506
Fluminicola caballensis	BOLD:AAE0501
Fluminicola insolitus	BOLD:AAY3587
Fluminicola umbilicatus	BOLD:AAE0636
Fluminicola virginius	BOLD:AAY3592
Ocenebra erinacea	BOLD:AAB1828
Tylomelania perfecta	BOLD:AAB9801
Pachychilus nigratus	BOLD:AAX2100
Bostrycapulus aculeatus	BOLD:AAD4394
Cyclope neritea	BOLD:AAA8486
Oncomelania hupensis	BOLD:AAW4485
Oncomelania hupensis	BOLD:AAW4485
Lyncina leucodon	BOLD:AAJ2738
Lyncina ventriculus	BOLD:AAE8249
Lyncina ventriculus	BOLD:AAE8249
Pustularia bistrinotata	BOLD:AAD5766
Pustularia cicercula	BOLD:AAF4841
Talostolida pellucens	BOLD:AAH9563
Talostolida subteres	BOLD:AAH9560
Cribrarula cribraria	BOLD:AAB6036
Erronea caurica	BOLD:AAB7227
Erronea onyx	BOLD:AAF2801
Erronea subviridis	BOLD:AAJ1110
Erosaria miliaris	BOLD:AAE4758
Venerupis philippinarum	BOLD:AAA3922
Meretrix meretrix	BOLD:AAC6197
Calyptogena solidissima	BOLD:AAC7877
Idas sp. SAL4	BOLD:AAW9499
Idas sp. SAL1	BOLD:AAI7651
Bellastraea kesteveni	BOLD:AAF2427
Pomaulax japonicus	BOLD:AAH7899
Turbo saxosus	BOLD:AAF6486
Neritina turrita	BOLD:AAA5096
Theodoxus baeticus	BOLD:AAA7897
Clithon spinosus	BOLD:AAA5095
Clithon spinosus	BOLD:AAA5095
Clithon spinosus	BOLD:AAA5095
Neritina canalis	BOLD:AAA3566
Neritina canalis	BOLD:AAA3566
Septaria porcellana	BOLD:AAA5854
Arion subfuscus	BOLD:AAC0338
Arion silvaticus	BOLD:AAJ1780
Lepetodrilus gordensis	BOLD:AAA8410
Lepetodrilus gordensis	BOLD:AAA8410
Lepetodrilus gordensis	BOLD:AAA8410
Phestilla sp. 1 AF-2006	BOLD:AAC5523
Phestilla sp. 1 AF-2006	BOLD:AAC5523
Valvata humeralis	BOLD:AAD4522
Valvata humeralis	BOLD:AAD4522
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Haliotis conicopora	BOLD:AAD5469
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:ACF1178
Pyrgulopsis limaria	BOLD:AAB0593
Pyrgulopsis notidicola	BOLD:AAC2356
Pyrgulopsis limaria	BOLD:AAB0593
Melanoides polymorpha	BOLD:AAB1144
Melanoides polymorpha	BOLD:AAB1145
Vinundu westae	BOLD:AAB5909
Taylorconcha serpenticola	BOLD:AAA6512
Taylorconcha serpenticola	BOLD:AAA6512
Taylorconcha serpenticola	BOLD:AAA6512
Taylorconcha insperata	BOLD:AAA6512
Assiminea taiwanensis	BOLD:AAJ9100
Tylomelania sp. ZMB Moll. 190694	BOLD:AAB9801
Crepidula convexa	BOLD:AAA6656
Sthenoteuthis oualaniensis	BOLD:AAA8934
Sthenoteuthis oualaniensis	BOLD:AAA8934
Circe scripta	BOLD:AAJ0865
Crassostrea gigas	BOLD:AAB2297
Crassostrea gigas	BOLD:AAB2297
Antigona lamellaris	BOLD:AAJ2504
Dreissena caputlacus	BOLD:AAD0576
Dreissena stankovici	BOLD:AAB5190
Dreissena polymorpha	BOLD:AAA5298
Chambardia rubens	BOLD:AAF3726
Alderia modesta	BOLD:ACL8734
Alderia willowi	BOLD:AAW1549
Elysia sp. ALB-2006	BOLD:AAC7606
Elysia crispata	BOLD:AAB4748
Elysia crispata	BOLD:AAB4745
Scutus breviculus	BOLD:AAB4242
Scutus breviculus	BOLD:AAB4242
Scutus breviculus	BOLD:AAB4242
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita albicilla	BOLD:AAA1277
Nerita albicilla	BOLD:AAA1277
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1277
Nerita albicilla	BOLD:AAA1277
Turbo intercostalis	BOLD:AAF6466
Lunella coronata	BOLD:AAD3504
Lithopoma caelatum	BOLD:AAX6389
Bolma persica	BOLD:AAJ7896
Partula otaheitana	BOLD:AAA7334
