species_name	bin_uri
Eosipho sp.	BOLD:AAO7671
Octopoteuthis deletron	BOLD:ACM3491
Bursa latitudo	BOLD:AAA8610
Bufonaria sp.	BOLD:ABY1181
Bolma recens	BOLD:AAO4986
Radix auricularia	BOLD:ACI2006
Chamelea striatula	BOLD:ABV8190
Ariadnaria borealis	BOLD:ACM0991
Ocinebrina reinai	BOLD:ABU8411
Ocinebrina hispidula	BOLD:ACD5109
Ocinebrina cf. edwardsii	BOLD:ACD7012
Ocinebrina cf. edwardsii	BOLD:ACF7365
Ocinebrina cf. edwardsii	BOLD:ACD7012
Ocinebrina hispidula	BOLD:ACD5109
Ocinebrina cf. edwardsii	BOLD:ACF7364
Tonicella lineata	BOLD:AAB7482
Conus sp.	BOLD:AAO3751
Conus pagoda	BOLD:ACL5813
Sepiella japonica	BOLD:AAD8673
Uroteuthis duvaucelii	BOLD:AAE3351
Architeuthis dux	BOLD:AAC3700
Protothaca jedoensis	BOLD:AAO5902
Oxystele tigrina	BOLD:AAK4730
Physella acuta	BOLD:AAB6433
Pyramidula rupestris	BOLD:ADJ9620
Pyrgulopsis kolobensis	BOLD:AAD2941
Radix balthica	BOLD:AAN9288
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Siphonaria sp. LINE-2015c	BOLD:ACQ1011
Siphonaria sp. LINE-2015e	BOLD:ADK5284
Sthenoteuthis oualaniensis	BOLD:ADJ6008
Sthenoteuthis oualaniensis	BOLD:AAA8934
Onithochiton neglectus	BOLD:ACH5765
Leptochiton boucheti	BOLD:AAO2543
Coryphella verrucosa	BOLD:AAB3154
Fusconaia flava	BOLD:AAB7215
Nacella mytilina	BOLD:AAA3752
Orcula dolium	BOLD:ACH7026
Geomelania minor	BOLD:ACH4567
Adamsiella variabilis	BOLD:ACH9048
Bursa rhodostoma	BOLD:ABY0840
Haminoea japonica	BOLD:ACI2127
Nacella magellanica	BOLD:AAA3752
Nacella magellanica	BOLD:AAA3752
Bullia rhodostoma	BOLD:AAM3884
Oxystele variegata	BOLD:AAM3034
Oxystele variegata	BOLD:AAM3034
Pilsbryspira jayana	BOLD:AAY4025
Haliotis walallensis	BOLD:AAA2369
Haliotis discus	BOLD:AAC8273
Rhagada convicta	BOLD:ACH8879
Quistrachia montebelloensis	BOLD:ACH6468
Echinolittorina radiata	BOLD:AAF6108
Hemiliostraca NEGV1	BOLD:ADL1954
Melanella NEGV1	BOLD:ADL1459
Crepidula NEGV11	BOLD:ADL1927
Mya arenaria	BOLD:AAE6281
Gonatus pyros	BOLD:AAE3427
Idiosepius macrocheir	BOLD:ACH2416
Idiosepius biserialis	BOLD:ACH3041
Uroteuthis duvaucelii	BOLD:AAE3350
Bathymodiolus thermophilus	BOLD:AAB2512
Brachidontes puniceus	BOLD:ACH5959
Brachidontes puniceus	BOLD:ACH5959
Brachidontes puniceus	BOLD:ACH5959
Brachidontes puniceus	BOLD:ACH5959
Choromytilus chorus	BOLD:AAR9597
Aspatharia pfeifferiana	BOLD:ACI2341
Ruditapes philippinarum	BOLD:AAA3922
Donax hanleyanus	BOLD:ACH2828
Donax obesulus	BOLD:ACH3502
Dreissena presbensis	BOLD:AAB5190
Dreissena presbensis	BOLD:AAB5190
Dreissena presbensis	BOLD:AAB5190
Gafrarium tumidum	BOLD:AAO6039
Crassostrea iredalei	BOLD:AAB5109
Atrina pectinata	BOLD:ACB7883
Lunella granulata	BOLD:AAD3503
Systrophia helicycloides	BOLD:AAC8666
Peltospira operculata	BOLD:ACH3349
Neritina pulligera	BOLD:ACH4875
Baicalia carinatocostata	BOLD:ACE8464
Crepipatella dilatata	BOLD:AAD1064
Aylacostoma chloroticum	BOLD:ACB8442
Orcula dolium	BOLD:ACI0692
Bursa granularis	BOLD:ABX8503
Haminoea japonica	BOLD:ACH4493
Amplirhagada intermedia	BOLD:ACH9677
Rhagada minima	BOLD:ACI1803
Rhagada convicta	BOLD:ACI2429
Rhagada minima	BOLD:ACI2497
Rhagada angulata	BOLD:ACH8874
Tegula funebralis	BOLD:AAV0529
Indoplanorbis exustus	BOLD:AAD4286
Pseudamnicola exilis	BOLD:ACH9594
Stramonita haemastoma	BOLD:AAC4000
Ceratostoma rorifluum	BOLD:ACB8155
Codringtonia codringtonii	BOLD:ACH7199
Lymnaea diaphana	BOLD:ACB7058
Galba cubensis	BOLD:AAJ2755
Bythinella charpentieri	BOLD:ACH2510
Echinolittorina radiata	BOLD:AAF6108
Sepiola tridens	BOLD:ABX2566
Rapana bezoar	BOLD:ABV4540
Nautilus pompilius	BOLD:AAG4585
Architeuthis dux	BOLD:AAC3700
Unio mancus	BOLD:AAC3754
Coelomactra antiquata	BOLD:ACH4893
Radix balthica	BOLD:AAN9288
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Sarasinula linguaeformis	BOLD:ACI0269
Scabies sp. MOTU-Par-19	BOLD:ADK1101
Schistodesmus lampreyanus	BOLD:ADK6531
Semisalsa maltzani	BOLD:AAJ7233
Shadinia terpoghassiani	BOLD:ADJ7714
Shinkailepas myojinensis	BOLD:ADK5863
Sinanodonta woodiana	BOLD:AAD9061
Siphonaria serrata	BOLD:AAU0607
Siphonaria serrata	BOLD:AAU0607
Siphonaria japonica	BOLD:ACH7183
Spiroceramus amplus	BOLD:ADK7807
Sthenoteuthis oualaniensis	BOLD:ADJ6008
Terebra armillata	BOLD:ABV4167
Thiara scabra	BOLD:AAE7683
Thuridilla hopei	BOLD:ADK1982
Tricolia neritina	BOLD:ACC6819
Tricolia insignis	BOLD:ACC6758
Tritia obsoleta	BOLD:AAA3780
Tritia obsoleta	BOLD:AAA3780
Unio elongatulus	BOLD:ADJ9295
Valvata tricarinata	BOLD:ACC1111
Xenostrobus securis	BOLD:ACI1679
Xenostrobus securis	BOLD:ACH6754
Xenostrobus securis	BOLD:ACI1679
Xenostrobus securis	BOLD:ACI1679
Xenostrobus securis	BOLD:ACI2639
Chromodoris elisabethina	BOLD:ADR6997
Fusconaia flava	BOLD:AAB7215
Pinna nobilis	BOLD:ADK7624
Agathylla biloba	BOLD:ACH6021
Navanax aenigmaticus	BOLD:ACH8122
Peronia verruculata	BOLD:AAM2482
Cernuella virgata	BOLD:AAW4394
Rhagada cf. dringi	BOLD:ACH5255
Rhagada convicta	BOLD:ACI0995
Rhagada elachystoma	BOLD:ACH4630
Rhagada intermedia	BOLD:ACH4630
Rhagada minima	BOLD:ACH5152
Rhagada angulata	BOLD:ACH8922
Cepaea nemoralis	BOLD:ACH6784
Omphiscola glabra	BOLD:AAI1475
Haliotis diversicolor	BOLD:AAD5674
Lepetodrilus sp. CNR-2015	BOLD:ACQ8292
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Monodonta confusa	BOLD:ACB7257
Monodonta confusa	BOLD:ACB7257
Monodonta confusa	BOLD:ACB7257
Montenegrina subcristata	BOLD:ADR7311
Mytilus chilensis	BOLD:AAA4735
Mytilus chilensis	BOLD:AAA4735
Myurella columellaris	BOLD:AAE7083
Nacella mytilina	BOLD:AAA3752
Nassarius graniferus	BOLD:AAO6577
Nassarius multipunctatus	BOLD:ADK1363
Nassarius acuminatus	BOLD:ACB7149
Nassarius thachi	BOLD:AAO7009
Neritina granosa	BOLD:ADK2409
Neritina granosa	BOLD:ADK2409
Neritina granosa	BOLD:ADK2409
Octopus hubbsorum	BOLD:ACI0213
Octopus membranaceus	BOLD:ABA2335
Omalonyx matheroni	BOLD:ADK5444
Ostrea lurida	BOLD:ADC7260
Oxystele tigrina	BOLD:AAK4730
Oxystele tigrina	BOLD:AAK4730
Oxystele tigrina	BOLD:AAK4730
Partula gibba	BOLD:ACQ0686
Perna viridis	BOLD:ACY1487
Perna perna	BOLD:AAE6446
Pholas orientalis	BOLD:ACH8007
Physella acuta	BOLD:AAB6433
Pinna nobilis	BOLD:ADK7624
Pinna nobilis	BOLD:ADK7624
Pleurocera prasinata	BOLD:ADJ6706
Pleurocera pyrenella	BOLD:AAD1712
Pleurocera prasinata	BOLD:ADJ6706
Pomacea maculata	BOLD:AAA2992
Pontobelgrandiella sp. Bulgaria	BOLD:ADJ8707
Pontobelgrandiella sp. Bulgaria	BOLD:ADJ8707
Potomida littoralis	BOLD:AAD6041
Potomida littoralis	BOLD:ACB7075
Potomida littoralis	BOLD:AAD6041
Potomida littoralis	BOLD:ACB7075
Potamopyrgus antipodarum	BOLD:ABY5556
Pseudamnicola sp. Khios	BOLD:ADK5370
Pseudodon sp. MOTU-Pse-07	BOLD:ADK5254
Pseudosuccinea columella	BOLD:ACH5041
Pseudosuccinea columella	BOLD:AAH7974
Pyramidula pusilla	BOLD:ADK3513
Pyramidula jaenensis	BOLD:ADJ7195
Pyramidula jaenensis	BOLD:ADJ7192
Pyramidula pusilla	BOLD:ADJ9533
Pyramidula sp. 1 OR-2015	BOLD:ADJ1096
Quadrula quadrula	BOLD:AAE7541
Quadrula quadrula	BOLD:AAE7541
Radix balthica	BOLD:AAN9288
Radix balthica	BOLD:AAN9288
Reishia clavigera	BOLD:AAW6905
Ruditapes philippinarum	BOLD:AAA3922
Cumberlandia monodonta	BOLD:AAD5812
Cylindrus obtusus	BOLD:ACD2472
Doryteuthis gahi	BOLD:AAX6341
Drupella cornus	BOLD:ACX2508
Drupella cornus	BOLD:ACX2508
Felimare picta	BOLD:ACV7506
Fluminicola fresti	BOLD:ADK6891
Galba schirazensis	BOLD:AAY4012
Galba schirazensis	BOLD:AAY4012
Geitodoris heathi	BOLD:ADJ8754
Geomalacus maculosus	BOLD:ACW0755
Geomalacus maculosus	BOLD:ACW0755
Geomalacus maculosus	BOLD:ACW0755
Gibbulinella dewinteri	BOLD:ADK3623
Gonatopsis octopedatus	BOLD:AAL3847
Gonatopsis borealis	BOLD:AAD1330
Granulomelon grandituberculatum	BOLD:ADJ8111
Grossuana sp. Bulgaria	BOLD:ADK7378
Gyraulus sp. 21381	BOLD:ACQ0011
Gyraulus sp. 18427	BOLD:ACQ0011
Gyraulus sp. 21383	BOLD:ACQ0011
Haliotis diversicolor	BOLD:AAD5674
Haliotis diversicolor	BOLD:AAD5674
Haliotis diversicolor	BOLD:AAD5674
Haliotis diversicolor	BOLD:AAD5674
Heterogen longispira	BOLD:AAR9203
Hippeutis cantori	BOLD:ADK8233
Jaminia quadridens	BOLD:ADK5320
Japelion latus	BOLD:AAW9123
Koreoleptoxis amurensis	BOLD:ADK3355
Lepetodrilus sp. CNR-2015	BOLD:ACQ8292
Lepetodrilus sp. CNR-2015	BOLD:ACQ8292
Lepetodrilus sp. CNR-2015	BOLD:ACQ8292
Lepetodrilus sp. CNR-2015	BOLD:ACQ8292
Leptoxis ampla	BOLD:ADK0056
Leptoxis ampla	BOLD:ADK0056
Littoraria subvittata	BOLD:ACH3111
Littoraria subvittata	BOLD:ACH3111
Littoraria subvittata	BOLD:ACH3111
Littoraria sinensis	BOLD:ACH3757
Littoraria sinensis	BOLD:ACH3757
Littoraria sinensis	BOLD:ACH3757
Littoraria sinensis	BOLD:ACH3757
Littoraria sinensis	BOLD:ACH3757
Littoraria sinensis	BOLD:ACH3757
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
Littorina brevicula	BOLD:ACB8372
Macridiscus melanaegis	BOLD:AAL3879
Macridiscus melanaegis	BOLD:AAL3879
Macridiscus semicancellata	BOLD:AAO8016
Macridiscus semicancellata	BOLD:AAO8016
Margaritifera margaritifera	BOLD:AAA8986
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Bathymodiolus brooksi	BOLD:AAI7748
Bathymodiolus brooksi	BOLD:AAI7748
Bathymodiolus heckerae	BOLD:AAD7685
Bathymodiolus platifrons	BOLD:AAW2781
Brachidontes sp.	BOLD:AAD4589
Bulinus forskalii	BOLD:ADK8239
Bulinus angolensis	BOLD:ADK5874
Bythinella sp. Bulgaria	BOLD:AAB2660
Bythinella viridis	BOLD:AAE0891
Bythinella sp. N01	BOLD:ADJ6050
Bythiospeum gonostoma	BOLD:ACH5659
Bythiospeum acicula	BOLD:ACH5659
Bythiospeum acicula	BOLD:ACH5659
Cantharidus purpureus	BOLD:ACH2405
Caucasotachea vindobonensis	BOLD:ADK7638
Cellana toreuma	BOLD:ADJ8272
Cellana toreuma	BOLD:ADJ8272
Cerion incanum	BOLD:AAO1974
Chrysomallon squamiferum	BOLD:ACB8385
Cliopsis krohni	BOLD:ACZ0623
Cochlicella acuta	BOLD:ACH6373
Columbella rustica	BOLD:ADJ8329
Cominella maculosa	BOLD:ACV8306
Contradens sp. MOTU-Rec-09	BOLD:ADJ7599
Corbicula fluminea	BOLD:AAC3963
Costasiella ocellifera	BOLD:ACQ1082
Crassostrea angulata	BOLD:ACH3409
Crassostrea sikamea	BOLD:AAI9053
Crassostrea gigas	BOLD:AAB2297
Crassostrea hongkongensis	BOLD:AAE3959
Crassostrea ariakensis	BOLD:AAD6870
Crassostrea ariakensis	BOLD:AAD6870
Crassostrea angulata	BOLD:ACH3409
Cumberlandia monodonta	BOLD:AAD5812
Cumberlandia monodonta	BOLD:AAD5812
Cumberlandia monodonta	BOLD:AAD5812
Cylindrus obtusus	BOLD:ACD2472
Cylindrus obtusus	BOLD:ACD2472
Dendronotus dudkai	BOLD:ADJ6488
Montenegrina cattaroensis	BOLD:ADK3017
Montenegrina cattaroensis	BOLD:ADK3017
Montenegrina okolensis	BOLD:ADJ9497
Abyssogena southwardae	BOLD:AAB1199
Acanthochitona garnoti	BOLD:AAM3915
Acanthochitona garnoti	BOLD:AAM3915
Acroloxus lacustris	BOLD:ADK1619
Albinaria voithii	BOLD:ADJ9742
Albinaria voithii	BOLD:ADJ9743
Amnicola dalli	BOLD:ADK5751
Ancylus sp. C4	BOLD:ACZ3179
Ancylus sp. C4	BOLD:ACZ3179
Ancylus sp. C1	BOLD:ACE7929
Anodonta cygnea	BOLD:AAF0516
Arianta arbustorum	BOLD:AAA1662
Arion rufus	BOLD:AAE6653
Ascorhis tasmanica	BOLD:ADJ7541
Atrina pectinata	BOLD:AAD9828
Atrina exusta	BOLD:ACI1206
Basedowena bethana	BOLD:ADK1285
Bathymodiolus childressi	BOLD:ABY5281
Bathymodiolus septemdierum	BOLD:AAI7746
Gibbula guttadauroi	BOLD:ACA1607
Gibbula umbilicaris	BOLD:ABU8199
Eubranchus tricolor	BOLD:AAE4887
Ocinebrina sp.	BOLD:AAF6676
Conus ebraeus	BOLD:AAA4120
Myurella affinis	BOLD:AAB7047
Doryteuthis pleii	BOLD:AAB3727
Euhadra dixoni	BOLD:ACL6520
Euhadra sandai	BOLD:ACL6713
Satsuma papilliformis	BOLD:ACL7802
Bathymodiolus thermophilus	BOLD:AAC0805
Bathymodiolus thermophilus	BOLD:AAC0805
Bathymodiolus thermophilus	BOLD:AAB2512
Bathymodiolus thermophilus	BOLD:AAB2512
Solen grandis	BOLD:ACQ3781
Tegula atra	BOLD:ACQ0911
Tegula atra	BOLD:ACQ0911
Cymbula safiana	BOLD:AAI9444
Parachloritis sp.	BOLD:ACQ2113
Bithynia siamensis	BOLD:ACF5735
Bithynia siamensis	BOLD:ABZ7044
Nesocoptis pruinosa	BOLD:ADJ6934
Haliotis iris	BOLD:AAY1677
Semisulcospira libertina	BOLD:ADJ7404
Geomalacus anguiformis	BOLD:ADR3331
Radix balthica	BOLD:AAN9288
Oxystele tigrina	BOLD:AAK4730
Tridacna crocea	BOLD:AAA2804
Cryptopecten vesiculosus	BOLD:AAR4760
Crassostrea gasar	BOLD:ACQ0235
Physella gyrina	BOLD:ABY6201
Archiminolia diadema	BOLD:ACI0761
Elysia patina	BOLD:AAX7674
Elysia abei	BOLD:ACI2275
Elysia crispata	BOLD:ACQ1013
Margarya melanioides	BOLD:ACQ7419
Hydrobia acuta	BOLD:AAA4943
Bythiospeum sp. France	BOLD:AAW7843
Salenthydrobia ferrerii	BOLD:AAB9741
Nymphophilus minckleyi	BOLD:AAX5498
Acanthinucella spirata	BOLD:AAA7691
Neotricula aperta	BOLD:AAB3130
Neotricula aperta	BOLD:ADR4328
Oncomelania hupensis	BOLD:AAW4485
Crepidula convexa	BOLD:AAA6656
Littorina littorea	BOLD:AAA1269
Trichobaicalia duthiersii	BOLD:AAJ8689
Baicalia turriformis	BOLD:ABY8510
Terebralia semistriata	BOLD:ACQ7949
Cerithidea cingulata	BOLD:ACQ1668
Dendropoma petraeum	BOLD:AAB2631
Cerithidea cingulata	BOLD:AAA7612
Terebralia sulcata	BOLD:ACQ3189
Theba arinagae	BOLD:ACB7476
Radix auricularia	BOLD:AAD6712
Mya japonica	BOLD:ABX1812
Gabbia wykoffi	BOLD:ABY1998
Carychium tridentatum	BOLD:AAI6554
Carychium tridentatum	BOLD:AAI6554
Carychium tridentatum	BOLD:AAI6554
Flabellina verrucosa	BOLD:AAB3154
Ocinebrina cf. edwardsii	BOLD:AAO6343
Duplicaria duplicata	BOLD:ADU7649
Cinguloterebra fujitai	BOLD:AAR9222
Terebra argus	BOLD:AAE9395
Myurella paucistriata	BOLD:AAX3590
Hastula hectica	BOLD:AAE5579
Terebra argosyia	BOLD:AAB3527
Sepioteuthis cf. lessoniana	BOLD:AAA9503
Lolliguncula brevis	BOLD:ACQ4389
Orcula spoliata	BOLD:ACQ7087
Margaritifera falcata	BOLD:AAC2926
Cumberlandia monodonta	BOLD:AAD5812
Obovaria arkansasensis	BOLD:AAL5631
Corbicula japonica	BOLD:AAC3963
Corbicula africana	BOLD:ACF5867
Glaucus atlanticus	BOLD:AAC5316
Powelliphanta lignaria	BOLD:AAD1505
Siphonaria japonica	BOLD:ACH7183
Pupilla triplicata	BOLD:ABW0185
Quistrachia turneri	BOLD:ACQ2239
Nucella ostrina	BOLD:AAA4209
Aegires citrinus	BOLD:ADC6839
Trochulus hispidus complex sp. 217 LK-2014	BOLD:ADR2031
Xeropicta derbentina	BOLD:ABA2259
Xenostrobus securis	BOLD:ACI2639
Parreysia corrugata	BOLD:ADK5358
Archivesica gigas	BOLD:AAB1193
Pinna carnea	BOLD:ACQ0869
Cerion uva	BOLD:AAZ3672
Cerion uva	BOLD:AAZ3672
Gyraulus sp.	BOLD:ACQ0011
Doris kerguelenensis	BOLD:AAA4077
Aeolidia papillosa	BOLD:ACQ0748
Haminoea japonica	BOLD:ACI2127
Physella acuta	BOLD:AAB6433
Tergipes tergipes	BOLD:AAK2466
Biomphalaria costata	BOLD:ACH9319
Biomphalaria crequii	BOLD:ACH6959
Xeropicta derbentina	BOLD:ABA2259
Hydrobia ulvae	BOLD:AAA7911
Heleobia opachensis	BOLD:ACH6356
Hexaplex trunculus	BOLD:AAK6034
Oncomelania hupensis	BOLD:AAW4485
Oncomelania hupensis	BOLD:AAW4485
Oncomelania hupensis	BOLD:AAW4485
Oncomelania hupensis	BOLD:AAW4485
Juturnia kosteri	BOLD:ACQ0210
Radix balthica	BOLD:ACS6908
Conus bruuni	BOLD:ACL5653
Nassarius coronatus	BOLD:AAG1571
Granulifusus aff. kiranus	BOLD:ABZ5016
Calliotectum sp.	BOLD:AAO6385
Retusa sp.	BOLD:AAY0217
Newnesia antarctica	BOLD:AAN6576
Carychium minimum	BOLD:AAC6843
Adipicola iwaotakii	BOLD:AAA7140
Adipicola iwaotakii	BOLD:AAA7140
Carychium sp.	BOLD:ACB3065
Terebra sp.	BOLD:AAR9222
Splendrillia sp.	BOLD:AAD8321
Gymnobela sp.	BOLD:AAB5331
Borsonia sp.	BOLD:AAB9685
Nautilus pompilius	BOLD:AAG4585
Euprymna albatrossae	BOLD:ADR5280
Neritina stumpffi	BOLD:ACI2202
Haliotis diversicolor	BOLD:AAD5674
Protatlanta souleyeti	BOLD:ADG7916
Pseudobaikalia jentteriana	BOLD:AAH8120
Heleobia ascotanensis	BOLD:ACH6359
Heleobia ascotanensis	BOLD:ACH6359
Neotricula aperta	BOLD:ADR3894
Nassarius festivus	BOLD:ACH7262
Siphonaria lessonii	BOLD:ACH6232
Unio delphinus	BOLD:AAB1507
Unio delphinus	BOLD:AAB1507
Unio elongatulus	BOLD:ADJ9295
Unio mancus	BOLD:AAC3754
Unio tumidus	BOLD:AAF0052
Donax obesulus	BOLD:ACH3502
Macoma petalum	BOLD:AAX6027
Nucella canaliculata	BOLD:AAZ4580
Littorina littorea	BOLD:AAA1269
Plectostoma concinnum	BOLD:ADL5091
Mastigoteuthis psychrophila	BOLD:AAD3515
Amalda sp.	BOLD:AAO5148
Conasprella coletteae	BOLD:ADP4481
Macridiscus melanaegis	BOLD:AAL3879
Macridiscus melanaegis	BOLD:AAL3879
Macridiscus melanaegis	BOLD:AAL3879
Christineconcha regab	BOLD:ADR6582
Nautilus pompilius	BOLD:AAG4585
Nautilus pompilius	BOLD:AAG4585
Octopus insularis	BOLD:ADI2098
Nucella ostrina	BOLD:AAA4209
Nucella ostrina	BOLD:AAA4209
Nassarius festivus	BOLD:ACH7262
Nassarius festivus	BOLD:ACH7261
Cuthona nana	BOLD:ACB7199
Doriopsilla fulva	BOLD:ADJ7817
Dendronotus lacteus	BOLD:AAC7991
Fiona pinnata	BOLD:ADJ5858
Phyllidia elegans	BOLD:AAY1581
Tenellia sp. E DS-2016	BOLD:ADR7255
Limacina helicina	BOLD:AAB8895
Pleurocera prasinata	BOLD:AAD1712
Acanthochitona garnoti	BOLD:AAM3915
Acanthochitona garnoti	BOLD:AAM3915
Xeropicta derbentina	BOLD:ABA2259
Micromelon nepouieana	BOLD:ADR9384
Ascobulla sp. BMNH 20070601	BOLD:ADJ8001
Caucasotachea vindobonensis	BOLD:ACQ1313
Pycnoptychia scaeva	BOLD:ADR2446
Eremina sp. BGM-2017	BOLD:ADR2949
Montenegrina soosi	BOLD:ADR3215
Geomalacus malagensis	BOLD:ADR2104
Gibbula umbilicaris	BOLD:ABU8199
Holandriana holandri	BOLD:ADR9332
Latipes erinaceus	BOLD:ADR8297
Montenegrina stankovici	BOLD:ADJ9378
Montenegrina subcristata	BOLD:ADR9160
Xanthomelon interpositum	BOLD:ADJ8627
Xeropicta derbentina	BOLD:ABA2259
Radix sp. clade 9 CC-2016	BOLD:ACH5101
Semisulcospira libertina	BOLD:ADK2836
Lampsilis radiata	BOLD:ABX5157
Leptodea ochracea	BOLD:ADL1042
Sanguinolaria tchangsii	BOLD:ACQ7492
Nautilus pompilius	BOLD:ADR3885
Pterygia aff. glans MNHN-IM-2007-30039	BOLD:AAO8785
Ocinebrina aciculata	BOLD:ACG0291
Camaena cicatricosa	BOLD:ADC6745
Albinaria schuchii	BOLD:ADS0050
Albinaria voithii	BOLD:ACH6179
Monacha claustralis	BOLD:ADK7165
Trochulus hispidus complex sp. 200 LK-2014	BOLD:ADR6076
Trochulus hispidus complex sp. 296 LK-2014	BOLD:ABX2931
Trochulus hispidus complex sp. 380 LK-2014	BOLD:ACP9825
Trochulus hispidus complex sp. 385 LK-2014	BOLD:ACP9825
Trochulus striolatus	BOLD:ABW3866
Limax sp. Castelsecco	BOLD:ACB7282
Cyclodontina avellanedae	BOLD:ADR7271
Ancylus sp. C4	BOLD:ACZ3179
Batillaria flectosiphonata	BOLD:ADR1994
Batillaria multiformis	BOLD:ACV5960
Batillaria multiformis	BOLD:ACV5960
Lottia digitalis	BOLD:AAF4654
Lottia digitalis	BOLD:AAF4654
Lottia digitalis	BOLD:AAF4654
Lottia digitalis	BOLD:AAF4654
Lottia digitalis	BOLD:AAF4654
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Lottia scabra	BOLD:ADR4622
Hinkleyia caperata	BOLD:ADR3733
Cellana grata	BOLD:ACQ5849
Cellana radiata	BOLD:AAC0527
Scutellastra granularis	BOLD:AAM9449
Elysia cf. papillosa	BOLD:ADR9346
Elysia ornata	BOLD:AAM5939
Pleurocera prasinata	BOLD:AAD1712
Physella acuta	BOLD:AAB6433
Patella ferruginea	BOLD:AAA8123
Perna picta	BOLD:ACH5495
Unio pictorum	BOLD:AAD9208
Tridacna maxima	BOLD:AAW8081
Ocinebrina hispidula	BOLD:ACD5109
Ocinebrina cf. edwardsii	BOLD:AAO6343
Bythiospeum gonostoma	BOLD:ACH5659
Echinolittorina paytensis	BOLD:AAI8918
Littorina brevicula	BOLD:ACB8372
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Melarhaphe neritoides	BOLD:AAG4377
Pedicularia vanderlandi	BOLD:AAX1691
Neotricula aperta	BOLD:ADR3894
Neotricula aperta	BOLD:ADR3894
Neotricula aperta	BOLD:ADR3894
Neotricula aperta	BOLD:ADR3894
Neotricula aperta	BOLD:AAB3131
Neotricula aperta	BOLD:AAB3131
Neotricula aperta	BOLD:ADR3896
Neotricula aperta	BOLD:ADR9261
Neotricula aperta	BOLD:ABX6776
Neotricula aperta	BOLD:ADR9259
Neotricula aperta	BOLD:ADR9259
Neotricula aperta	BOLD:ADR9256
Cominella maculosa	BOLD:ACV8306
Pollia dorbignyi	BOLD:ADJ9718
Conus cuneolus	BOLD:ADS4651
Conus vulcanus	BOLD:ACQ6970
Drupella cornus	BOLD:ACX2508
Drupella cornus	BOLD:ACX2508
Drupella cornus	BOLD:ACX2508
Reishia clavigera	BOLD:AAW6905
Reishia clavigera	BOLD:AAW6905
Nassarius arcus	BOLD:ADR6972
Nassarius variciferus	BOLD:ACB8189
Reticunassa neoproducta	BOLD:ADR7807
Agaronia annotata	BOLD:ADB0154
Felimare californiensis	BOLD:ADR7111
Felimida clenchi	BOLD:ADK4815
Cuthonella concinna	BOLD:AAN6579
Cuthonella soboli	BOLD:ADR7927
Cuthona nana	BOLD:ACB7199
Flabellina ischitana	BOLD:ADR8805
Godiva quadricolor	BOLD:AAM2946
Tritoniopsis elegans	BOLD:ADR6458
Unidentia angelvaldesi	BOLD:ADR8825
Pleurobranchaea maculata	BOLD:ADE3614
Pleurobranchaea maculata	BOLD:ADE3614
Pleurobranchaea maculata	BOLD:ADE3614
Siphonaria sp. LINE-2015b	BOLD:ADR4090
Siphonaria sp. LINE-2015c	BOLD:ACQ1011
Archachatina marginata	BOLD:ADR2713
Arion sp. 1525_3	BOLD:AAB3153
Arion sp. 1534_1	BOLD:AAC0340
Arion sp. 1692_1	BOLD:AAD2027
Pseudosuccinea columella	BOLD:AAH7974
Pseudosuccinea columella	BOLD:ADJ9398
Isognomon ephippium	BOLD:ACX5630
Nautilus pompilius	BOLD:ADR3885
Euprymna albatrossae	BOLD:ADR5281
Euprymna albatrossae	BOLD:ADR5280
Euprymna albatrossae	BOLD:ADR5280
Euprymna albatrossae	BOLD:ADR5280
Sthenoteuthis oualaniensis	BOLD:AAA8934
Pomacea canaliculata	BOLD:AAA3845
Pomacea canaliculata	BOLD:AAA3845
Pomacea canaliculata	BOLD:AAA3844
Pomacea insularum	BOLD:AAA2992
Pomacea insularum	BOLD:AAA2992
Bellamya aeruginosa	BOLD:ACV8447
Nerita yoldii	BOLD:AAH2930
Nerita yoldii	BOLD:AAH2930
Shinkailepas briandi	BOLD:ADR9422
Shinkailepas briandi	BOLD:ADR9422
