bin_uri	species_per_bin
BOLD:AAA0249	2
BOLD:AAA0250	1
BOLD:AAA0251	3
BOLD:AAA0252	2
BOLD:AAA0253	2
BOLD:AAA0254	3
BOLD:AAA0255	1
BOLD:AAA0256	1
BOLD:AAA0257	2
BOLD:AAA0258	1
BOLD:AAA0259	1
BOLD:AAA0260	1
BOLD:AAA0261	1
BOLD:AAA0262	1
BOLD:AAA0263	1
BOLD:AAA0264	1
BOLD:AAA0265	2
BOLD:AAA0266	1
BOLD:AAA0267	1
BOLD:AAA0268	1
BOLD:AAA0269	1
BOLD:AAA0270	1
BOLD:AAA0271	1
BOLD:AAA0272	2
BOLD:AAA0273	1
BOLD:AAA0274	1
BOLD:AAA0275	1
BOLD:AAA0276	2
BOLD:AAA0277	1
BOLD:AAA0278	1
BOLD:AAA0279	1
BOLD:AAA0280	2
BOLD:AAA0281	1
BOLD:AAA0282	1
BOLD:AAA0283	3
BOLD:AAA0284	1
BOLD:AAA0285	1
BOLD:AAA0286	1
BOLD:AAA0287	1
BOLD:AAA0288	1
BOLD:AAA0289	1
BOLD:AAA0290	1
BOLD:AAA0291	1
BOLD:AAA0292	1
BOLD:AAA0293	3
BOLD:AAA0294	1
BOLD:AAA0295	3
BOLD:AAA0296	1
BOLD:AAA0297	1
BOLD:AAA0298	1
BOLD:AAA0299	1
BOLD:AAA0300	1
BOLD:AAA0301	1
BOLD:AAA0302	1
BOLD:AAA0303	1
BOLD:AAA0304	1
BOLD:AAA0305	1
BOLD:AAA0306	1
BOLD:AAA0307	1
BOLD:AAA0308	1
BOLD:AAA0309	2
BOLD:AAA0310	3
BOLD:AAA0311	1
BOLD:AAA0312	2
BOLD:AAA0313	1
BOLD:AAA0314	1
BOLD:AAA0315	1
BOLD:AAA0316	1
BOLD:AAA0317	1
BOLD:AAA0318	2
BOLD:AAA0319	1
BOLD:AAA0320	1
BOLD:AAA0321	2
BOLD:AAA0322	1
BOLD:AAA0323	3
BOLD:AAA0324	1
BOLD:AAA0325	2
BOLD:AAA0326	1
BOLD:AAA0327	1
BOLD:AAA0328	1
BOLD:AAA0329	3
BOLD:AAA0330	1
BOLD:AAA0331	1
BOLD:AAA0332	1
BOLD:AAA0333	1
BOLD:AAA0334	1
BOLD:AAA0335	1
BOLD:AAA0336	1
BOLD:AAA0337	1
BOLD:AAA0338	1
BOLD:AAA0339	2
BOLD:AAA0340	1
BOLD:AAA0341	1
BOLD:AAA0342	1
BOLD:AAA0343	1
BOLD:AAA0344	1
BOLD:AAA0345	1
BOLD:AAA0346	1
BOLD:AAA0347	1
BOLD:AAA0348	2
BOLD:AAA0349	1
BOLD:AAA0350	1
BOLD:AAA0351	2
BOLD:AAA0352	1
BOLD:AAA0353	2
BOLD:AAA0354	1
BOLD:AAA0355	1
BOLD:AAA0356	1
BOLD:AAA0357	1
BOLD:AAA0358	1
BOLD:AAA0359	2
BOLD:AAA0360	1
BOLD:AAA0361	1
BOLD:AAA0362	1
BOLD:AAA0363	1
BOLD:AAA0364	1
BOLD:AAA0365	1
BOLD:AAA0366	1
BOLD:AAA0367	1
BOLD:AAA0368	3
BOLD:AAA0369	1
BOLD:AAA0370	1
BOLD:AAA0371	2
BOLD:AAA0372	3
BOLD:AAA0373	1
BOLD:AAA0374	2
BOLD:AAA0375	1
BOLD:AAA0376	1
BOLD:AAA0377	1
BOLD:AAA0378	1
BOLD:AAA0379	1
BOLD:AAA0380	1
BOLD:AAA0381	1
BOLD:AAA0382	1
BOLD:AAA0383	2
BOLD:AAA0384	1
BOLD:AAA0385	1
BOLD:AAA0386	2
BOLD:AAA0387	1
BOLD:AAA0388	1
BOLD:AAA0389	1
BOLD:AAA0390	1
BOLD:AAA0391	1
BOLD:AAA0392	2
BOLD:AAA0393	1
BOLD:AAA0394	1
BOLD:AAA0395	1
BOLD:AAA0396	2
BOLD:AAA0397	1
BOLD:AAA0398	1
BOLD:AAA0399	4
BOLD:AAA0400	1
BOLD:AAA0401	1
BOLD:AAA0402	1
BOLD:AAA0403	1
BOLD:AAA0404	1
BOLD:AAA0405	1
BOLD:AAA0406	3
BOLD:AAA0407	1
BOLD:AAA0408	6
BOLD:AAA0409	1
BOLD:AAA0410	1
BOLD:AAA0411	2
BOLD:AAA0412	2
BOLD:AAA0413	2
BOLD:AAA0414	1
BOLD:AAA0415	1
BOLD:AAA0416	2
BOLD:AAA0417	1
BOLD:AAA0418	4
BOLD:AAA0419	1
BOLD:AAA0420	1
BOLD:AAA0421	1
BOLD:AAA0422	1
BOLD:AAA0423	1
BOLD:AAA0424	2
BOLD:AAA0425	1
BOLD:AAA0426	1
BOLD:AAA0427	1
BOLD:AAA0428	2
BOLD:AAA0429	1
BOLD:AAA0430	1
BOLD:AAA0431	1
BOLD:AAA0432	3
BOLD:AAA0433	1
BOLD:AAA0434	1
BOLD:AAA0435	1
BOLD:AAA0436	1
BOLD:AAA0437	1
BOLD:AAA0438	1
BOLD:AAA0439	1
BOLD:AAA0440	1
BOLD:AAA0441	6
BOLD:AAA0442	1
BOLD:AAA0443	1
BOLD:AAA0444	1
BOLD:AAA0445	1
BOLD:AAA0446	2
BOLD:AAA0447	1
BOLD:AAA0448	1
BOLD:AAA0449	1
BOLD:AAA0450	1
BOLD:AAA0451	1
BOLD:AAA0452	1
BOLD:AAA0453	1
BOLD:AAA0454	1
BOLD:AAA0455	1
BOLD:AAA0456	1
BOLD:AAA0457	1
BOLD:AAA0458	1
BOLD:AAA0459	1
BOLD:AAA0460	1
BOLD:AAA0461	1
BOLD:AAA0462	1
BOLD:AAA0463	1
BOLD:AAA0464	1
BOLD:AAA0465	1
BOLD:AAA0466	1
BOLD:AAA0467	1
BOLD:AAA0468	1
BOLD:AAA0469	1
BOLD:AAA0470	2
BOLD:AAA0471	1
BOLD:AAA0472	3
BOLD:AAA0473	2
BOLD:AAA0474	1
BOLD:AAA0475	1
BOLD:AAA0476	4
BOLD:AAA0477	1
BOLD:AAA0478	1
BOLD:AAA0479	1
BOLD:AAA0480	1
BOLD:AAA0481	1
BOLD:AAA0482	1
BOLD:AAA0483	1
BOLD:AAA0484	1
BOLD:AAA0485	1
BOLD:AAA0486	1
BOLD:AAA0487	1
BOLD:AAA0488	2
BOLD:AAA0489	1
BOLD:AAA0490	1
BOLD:AAA0491	1
BOLD:AAA0492	1
BOLD:AAA0493	1
BOLD:AAA0494	1
BOLD:AAA0495	1
BOLD:AAA0496	2
BOLD:AAA0497	2
BOLD:AAA0498	1
BOLD:AAA0499	1
BOLD:AAA0500	1
BOLD:AAA0501	1
BOLD:AAA0502	1
BOLD:AAA0503	1
BOLD:AAA0504	1
BOLD:AAA0505	1
BOLD:AAA0506	1
BOLD:AAA0507	1
BOLD:AAA0508	1
BOLD:AAA0509	1
BOLD:AAA0510	1
BOLD:AAA0511	1
BOLD:AAA0512	2
BOLD:AAA0513	1
BOLD:AAA0514	3
BOLD:AAA0515	1
BOLD:AAA0517	1
BOLD:AAA0518	1
BOLD:AAA0519	1
BOLD:AAA0520	1
BOLD:AAA0521	1
BOLD:AAA0522	1
BOLD:AAA0523	1
BOLD:AAA0524	1
BOLD:AAA0525	1
BOLD:AAA0526	1
BOLD:AAA0527	1
BOLD:AAA0528	1
BOLD:AAA0529	1
BOLD:AAA0530	1
BOLD:AAA0531	1
BOLD:AAA0532	1
BOLD:AAA0533	1
BOLD:AAA0534	1
BOLD:AAA0535	2
BOLD:AAA0536	1
BOLD:AAA0537	1
BOLD:AAA0538	1
BOLD:AAA0539	1
BOLD:AAA0540	1
BOLD:AAA0541	2
BOLD:AAA0542	1
BOLD:AAA0543	2
BOLD:AAA0544	1
BOLD:AAA0545	1
BOLD:AAA0546	1
BOLD:AAA0547	1
BOLD:AAA0548	1
BOLD:AAA0549	1
BOLD:AAA0550	1
BOLD:AAA0551	1
BOLD:AAA0552	1
BOLD:AAA0553	1
BOLD:AAA0554	1
BOLD:AAA0555	1
BOLD:AAA0556	1
BOLD:AAA0557	3
BOLD:AAA0558	1
BOLD:AAA0559	1
BOLD:AAA0560	1
BOLD:AAA0561	1
BOLD:AAA0562	1
BOLD:AAA0563	1
BOLD:AAA0564	1
BOLD:AAA0565	1
BOLD:AAA0566	1
BOLD:AAA0567	1
BOLD:AAA0568	1
BOLD:AAA0569	1
BOLD:AAA0570	1
BOLD:AAA0571	1
BOLD:AAA0572	1
BOLD:AAA0574	1
BOLD:AAA0575	1
BOLD:AAA0576	1
BOLD:AAA0577	2
BOLD:AAA0578	1
BOLD:AAA0579	1
BOLD:AAA0580	1
BOLD:AAA0581	1
BOLD:AAA0582	2
BOLD:AAA0583	2
BOLD:AAA0584	1
BOLD:AAA0585	1
BOLD:AAA0586	1
BOLD:AAA0587	1
BOLD:AAA0588	1
BOLD:AAA0589	1
BOLD:AAA0590	2
BOLD:AAA0591	1
BOLD:AAA0592	1
BOLD:AAA0593	1
